0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/nunito-v9-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/nunito-v9-latin-600.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/nunito-v9-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:50 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:51 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:58 +0530] "GET /housepricepredictionsystem/admin/login.jsp HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/bootstrap-social.css HTTP/1.1" 200 28218
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/iziToast.min.css HTTP/1.1" 200 41505
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/iziToast.min.js HTTP/1.1" 200 18486
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/img/loading.gif HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:30:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/fa-brands-400.woff2 HTTP/1.1" 200 74776
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:31:08 +0530] "GET /housepricepredictionsystem/admin/register.jsp HTTP/1.1" 200 4362
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:31:08 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/selectric.css HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:31:08 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/auth-register.js HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:31:08 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/jquery.pwstrength.min.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:31:08 +0530] "GET /housepricepredictionsystem/admin/adminResources/js/jquery.selectric.min.js HTTP/1.1" 200 14549
0:0:0:0:0:0:0:1 - - [23/Oct/2020:16:31:08 +0530] "GET /housepricepredictionsystem/admin/adminResources/img/loading.gif HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [23/Oct/2020:23:01:30 +0530] "GET /housepricepredictionsystem/admin/adminResources/fonts/fa-regular-400.woff2 HTTP/1.1" 200 13560
